year,date,open,high,low,close,volume
2015,12/10/15,124.5,125.21,121.62,122.91,13474119
2015,12/11/15,121.45,123,118.6,118.91,16105315
2015,12/14/15,119.77,120.9,114.66,120.67,18735608
2015,12/15/15,121.93,123.3,118.54,118.6,11759993
2015,12/16/15,119.8,123,118.09,122.64,13180982
2015,12/17/15,123.97,126.35,122.42,122.51,17284872
2015,12/18/15,120.85,122.19,117.92,118.02,17948060
2015,12/21/15,119.51,119.59,115.66,116.63,11669993
2015,12/22/15,117.3,117.43,114.86,116.24,9689044
2015,12/23/15,116.91,118.56,115.78,118.16,9324333
2015,12/24/15,118.22,118.8,117.3,117.33,3541403
2015,12/28/15,117.26,117.35,113.85,117.11,8424276
2015,12/29/15,118.19,119.6,116.92,119.12,8159211
2015,12/30/15,118.95,119.02,116.43,116.71,8149686
2015,12/31/15,116.21,117.46,114.28,114.38,9273008
2016,1/4/16,109,110,105.21,109.96,20794848
2016,1/5/16,110.45,110.58,105.85,107.66,17664562
2016,1/6/16,105.29,117.91,104.96,117.68,33045656
2016,1/7/16,116.36,122.18,112.29,114.56,33636661
2016,1/8/16,116.33,117.72,111.1,111.39,18067140
2016,1/11/16,112.13,116.79,111.2,114.97,21920390
2016,1/12/16,116.11,117.78,115.08,116.58,15133522
2016,1/13/16,114.43,114.48,104.53,106.56,24921587
2016,1/14/16,105.65,109.25,101.21,107.06,23664784
2016,1/15/16,102.43,105.5,101.72,104.04,19775141
2016,1/19/16,106.57,110.14,105.55,107.89,35722752
2016,1/20/16,108.91,109.99,97.0501,107.74,53009419
2016,1/21/16,108.32,108.51,102.1,102.35,31027503
2016,1/22/16,104.7225,104.99,99.22,100.72,26821771
2016,1/25/16,99.78,102.68,99,99.12,20321102
2016,1/26/16,99.74,100.55,94.85,97.83,22083897
2016,1/27/16,96.61,97.8495,90.59,91.15,25556187
2016,1/28/16,93.84,95.25,90.11,94.41,24562311
2016,1/29/16,92,94.39,90.63,91.84,20463895
2016,2/1/16,91.79,97.18,91.3,94.09,19684477
2016,2/2/16,95.54,96.65,90.73,91.49,21906495
2016,2/3/16,92.41,92.69,86.14,90.74,27466034
2016,2/4/16,89.5,91.25,86.54,89.71,19108600
